,sentence,label,score
0,"(ab)  iS Ee  oO  SOcie J Environmental  & Governance Re  AG  82 Introduction  A Letter from our Chairman & CEO  A Letter from Our Lead Independent Director  2022 Progress and Highlights  Our Approach to ESG  Priority ESG Issues  Impact Stories  Tackling the Health Equity Gap Together  Keeping Patients at the Center of Everything We Do  Environment  Climate Change  Sustainable Medicines  Social  Innovation and Global Health  Human Capital  Governance  Ethics, Transparency, and Quality  Accountability  Performance  Environment  Social  Governance  Appendix  GRI Index  SASB Index  TCFD  About This Report  Independent Accountants’ Report What this report covers  This report shares an overview of our Environmental, Social, and Governance  (ESG) vision, achievements, and progress in the year from January 1, 2022 to  December 31, 2022, including data on 32 key performance indicators (KPIs), as  well as our path toward a sustainable life sciences future.",Governance - Business_Ethics,0.2567907273769378
1,"For more information, please see About this Report on page 81.",Governance - Management_Of_Legal_And_Regulatory_Framework,0.3997860848903656
2,"Where to find more information  14} 2022 Annual Documents — 2022 Annual Review — 2022 Annual Report on Form 10-K — 2023 Proxy Statement  =] Pfizer  This report provides a comprehensive overview of Pfizer's  commitment to our priority ESG goals toward contributing  to long term value creation and a sustainable, responsible,  and patient centric business model.",Governance - Business_Model_Resilience,0.7600102424621582
3,"Our focus is rooted in our  purpose to deliver Breakthroughs that change patients’ lives  through ethical decision-making and our core values—Courage,  Excellence, Equity, and Joy.",Social - Human_Rights_And_Community_Relations,0.3002519607543945
4,"Stepping Up to Meet the Demands of a  Changing World  At Pfizer, our purpose—Breakthroughs that change patients’  lives—drives us to be a force for good in the world.",Social - Access_And_Affordability,0.1961608976125717
5,"We  believe that scientific innovation can help people live  longer, healthier lives, and we are proud to continue to  advance our scientific pipeline and strengthen our research  and development in support of this goal.",Social - Access_And_Affordability,0.3112299144268036
6,"Specifically, to  help ensure science will win against ongoing and future  health threats, we invested approximately $11.4 billion in  internal research and development programs in 2022.",Social - Employee_Health_And_Safety,0.7517264485359192
7,"While many people know about what Pfizer does, fewer  know how we go about this work in a way that fulfills our  purpose, builds trust, and takes accountability for the impact we make on society.",Social - Human_Rights_And_Community_Relations,0.2395252734422683
8,"We take  our work seriously, as the impact is felt by not only the more than 1.3 billion patients treated  with our medicines and vaccines in 2022', but also the communities in which we, and our  stakeholders, live and work.",Social - Access_And_Affordability,0.6096282601356506
9,"2022—like the two years preceding it—was punctuated by a growing number of daunting  global challenges—from COVID-19, which remains a threat to global health, to political and  economic instability, to the armed conflict in Ukraine, to increased attacks on marginalized  groups that have made it harder for people to live safe, healthy, and productive lives.",Social - Human_Rights_And_Community_Relations,0.8588701486587524
10,"At the  same time, continued climate change has led to observable effects—from floods and heat  waves to droughts and dwindling ice caps—and may be linked to not-so-obvious effects, such  as potential increased health risks from air pollution, extreme weather events, and pressures  on mental health.",Environmental - Physical_Impacts_Of_Climate_Change,0.9421326518058776
11,"Global action and collaboration are needed to address these issues, and as a private-sector  leader, Pfizer is committed to responding.",Social - Human_Rights_And_Community_Relations,0.2080508321523666
12,"At Pfizer, our commitment is anchored to our six ESG priorities: product innovation; equitable  access and pricing; product quality and safety; diversity, equity, and inclusion; climate  change; and business ethics.",Social - Employee_Engagement_Inclusion_And_Diversity,0.8861851096153259
