esg_text,NER_Results
"AOD  MIOLS  YALNNOD  GWNY 766  AGOD  MIOLS  YALNNOD  AHH   A letter from the Chairman and CEO 4  A letter from our Chief Legal & Corporate Responsibility Officer 6  2.0 About this report 8  About this report 10  Organizational profile 11  Material topics 12  Aligning with the United Nations Sustainable Development Goals 14  3.0 Environmental 16  Environmental management system (EMS) 18  Climate change 19  Waste 25  Water 26  Environmentally conscious products 27  Packaging 37  Product end-of-life management (PELM) 39  Circular economy 40  Biodiversity 4)  4.0 Social 42  Labor practices 44  Health and safety 45  Diversity and inclusion (D&l) 5]  Employment and talent management practices 57  Global philanthropy and community engagement 64  5.0 Governance 68  ESG governance 70  Business practices 73  Product quality management 79  Innovation 81  Governance highlights 83  6.0 Global supply chain 86  Supply chain ESG practices 88  Supplier diversity 101  7.0 Consolidated metrics 102  FY 2023/24 consolidated metrics 104  8.0 EMS performance, objectives, and targets 116  FY 2023/24 EMS performance, objectives, and targets 118  9.0 Long-term KPI progress 126  Long-term ESG key performance indicators (KPI) 128  10.0 Appendix 132  FY 2023/24 memberships and associations 134  Scope of the report 135  Gender equity supplementary information 136  GRI content index 138  The Hong Kong Stock Exchange's ESG Reporting 143  Guide content index  letters  4 A letter from the Chairman  and CEO  6 A letter from our  Chief Legal & Corporate Responsibility  Officer  | am pleased to introduce our FY 2023/24  Environmental, Social and Governance (ESG) report.","{'numbers': ['4', '6', '8', '10', '11', '12', '14', '3.0', '16', '18', '19', '25', '26', '27', '39', '40', '4', '4.0', '42', '44', '45  Diversity', '5', '57', '64', '70', '73', '79', '81', '83', '6.0', '86', '88', '101', '7.0', '102', '2023/24', '104', '8.0', '116', '2023/24', '118', '126', '128', '10.0', '132', '2023/24', '134', '135', '136', '138', '143', '4', '6', '2023/24'], 'metrics': [], 'dates': []}"
"This is the 18th consecutive year we have published  such a report, demonstrating our commitment,  persistence, and ongoing progress in these areas.","{'numbers': [], 'metrics': [], 'dates': ['the 18th consecutive year']}"
"Clearly, the past year presented our world with  numerous challenges, but it also brought us  unprecedented opportunities in artificial intelligence  (Al).","{'numbers': [], 'metrics': [], 'dates': ['the past year']}"
It is clear that Al will be a major priority and  influence in our business for years to come.,"{'numbers': [], 'metrics': [], 'dates': ['years']}"
"Al for environmental sustainability  We're proud to be on-track for our 2030 emissions  reductions goals, after announcing our commitment to  reach net-zero emissions by 2050 in alignment to the  Science Based Targets initiative’s Net-Zero Standard.","{'numbers': ['net-zero'], 'metrics': [], 'dates': ['2030', '2050']}"
"In 2023, Lenovo announced the  new reduced carbon transport service for global  logistics, as well as L.I.S.S.A., an Al-powered consultant  that can help customers optimize their IT solutions in  support of their sustainability goals.","{'numbers': [], 'metrics': [], 'dates': ['2023', 'L.I.S.S.A.']}"
"More than 400 Lenovo products  have been designated with Climate+, which highlights  their thoughtful production with climate in mind.","{'numbers': ['More than 400'], 'metrics': [], 'dates': []}"
"Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   on  dake  Ay  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report 5  Responsibility Officer  As Senior Vice President and Chief Legal &  Corporate Responsibility Officer, it is a pleasure to  share our 18th annual Environmental, Social, and  Governance (ESG) Report for FY 2023/24.","{'numbers': ['2023/24', '2023/24', '5', '18th'], 'metrics': [], 'dates': ['annual', 'FY 2023/24']}"
"This  past year was measured as the hottest year on  Earth in recorded history, economic uncertainty  and division remains for many around the world,  and artificial intelligence has proven itself as a  powerful tool that must be used thoughtfully.","{'numbers': [], 'metrics': [], 'dates': ['This  past year', 'the hottest year']}"
"With these values in mind, Lenovo was proud to  fortify our participation as a member of the United  Nations Global Compact by joining the Forward  Faster initiative in 2023.","{'numbers': [], 'metrics': [], 'dates': ['2023']}"
"After  announcing the validation of our net-zero targets  by the Science Based Targets initiative in January  2023, joining the Forward Faster initiative further  demonstrates our commitment to credible action  through collaboration with others who are serious  about mitigating climate change and conserving  our planet’s resources.","{'numbers': ['net-zero'], 'metrics': [], 'dates': ['January  2023']}"
While we are on track to meet our near-term 2030  emissions reduction goals - the first milestone in  our journey to net-zero by 2050 - we know that  innovation is perhaps the most critical strength for  our journey.,"{'numbers': ['first', 'net-zero'], 'metrics': [], 'dates': ['2030', '2050']}"
"To better understand the diversity of our employee  base, we launched a Self-ID Campaign in 2023.","{'numbers': [], 'metrics': [], 'dates': ['2023']}"
"With alignment from local leadership,  it has rolled out in the US, the European Union, and  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report   months to come.","{'numbers': ['2023/24'], 'metrics': [], 'dates': ['months']}"
"It also provides insights for our  employee resource groups, as they work to foster  a sense of belonging in our workforce across seven  diversity segments, many intersections, and many  interest groups.","{'numbers': ['seven'], 'metrics': [], 'dates': []}"
"We remain focused  on our executive representation goals for FY  2025/26, working to reach 27% female executive  representation around the world and 35%  representation of executives from historically  excluded backgrounds in the US.","{'numbers': ['2025/26'], 'metrics': ['27%', '35%'], 'dates': []}"
"In FY 2023/24, we were proud to receive the  highest-ever engagement score on our Annual  Lenovo Listens employee survey.","{'numbers': [], 'metrics': [], 'dates': ['FY 2023/24', 'Annual']}"
"In 2023, employees grew our  grassroots-driven Love on Month of Service for the  seventh consecutive year, tracking more hours  volunteered than ever before.","{'numbers': ['seventh'], 'metrics': [], 'dates': ['2023', 'hours']}"
In the  past year we were proud to be recognized as one  of Fortune Magazine’s Most Admired Companies.,"{'numbers': ['one'], 'metrics': [], 'dates': ['the  past year']}"
"Our  customers and partners are recognizing our efforts,  as Lenovo was honored with the Canalys  Sustainability Champion Award in 2023.","{'numbers': [], 'metrics': [], 'dates': ['2023']}"
"Ona hate  Laura Quatela  Senior Vice President, Chief Legal & Corporate  Responsibility Officer  Lenovo Group Limited  Lenovo Group Limited 2023/24 Environmental, Social and Governance Report  S49]19| BAIINDEXA   Material topics  Aligning with the United Nations  Sustainable Develooment Goals  This is the 18° annual Environmental, Social, and  Governance (ESG3 Repert of Lenovo Group Limited!","{'numbers': ['2023/24', '18'], 'metrics': [], 'dates': []}"
"CHED counter stock cade: 992 / RMB counter stock  code: 80992) Cthe Company’), which covers the  Fiscal Year (FY) 2023/24 (April 1, 2023 - March 31  2024), This report is consicered ; a s cornpanion  Gocurment ta the Carmparry’s $ O23 :  = t, The annual ESG gate o car be fou nd i in n the  Management’ S discussion & analysis of the Annual  Report.","{'numbers': ['80992', '2023/24'], 'metrics': ['992 / RMB'], 'dates': ['the  Fiscal Year (FY', 'April 1, 2023 - March 31  2024', 'annual']}"
"; Lenovo Group Limited is the ultimate  develop, manufacture, or distribute produc Accracdited third parties have provided verification  services for certain energy, greenhouse gas (GHG)  emussions, waste, ang water data in this report.","{'numbers': ['third'], 'metrics': [], 'dates': []}"
All disclosures and results are  for the Company's 5 progress in PY 2022/24 unless  otherwise noted.,"{'numbers': ['5'], 'metrics': [], 'dates': []}"
"Jeannie Kwong, ESG Reporting Manager  BOOT Davelooment Drive, Morrisville, NC 27560  Email environmentailenove  e holding compary of Lenovo Group.","{'numbers': ['27560'], 'metrics': [], 'dates': []}"
"4s 4 holding cornpany, it does not design,  ts or services, or control any activities of the Company's subsictaries in the  design, develooment, rnanufacture, or distribution of products or services,  10 Lenovo Group Limited 2023/24 Environmental, Social ancl Governance Report  approximately 69,500 people around the world and  serving millions of customers every day in 180  markets.","{'numbers': ['4s 4', '10', '2023/24', 'approximately 69,500', 'millions', '180'], 'metrics': [], 'dates': []}"
Lenovo acquired IBM’s PC Division in May 2005.,"{'numbers': [], 'metrics': [], 'dates': ['May 2005']}"
"Lenovo has held a  majority stake in Medion AG since July 2011, and in  October 2014, Lenovo acquired both Motorola  Mobility and IBM’s X86 servers.","{'numbers': [], 'metrics': [], 'dates': ['July 2011', 'October 2014']}"
"In November 2017,  Lenovo launched a joint venture with Fujitsu Limited.","{'numbers': [], 'metrics': [], 'dates': ['November 2017']}"
