esg_text,labels
"AOD  MIOLS  YALNNOD  GWNY 766  AGOD  MIOLS  YALNNOD  AHH   A letter from the Chairman and CEO 4  A letter from our Chief Legal & Corporate Responsibility Officer 6  2.0 About this report 8  About this report 10  Organizational profile 11  Material topics 12  Aligning with the United Nations Sustainable Development Goals 14  3.0 Environmental 16  Environmental management system (EMS) 18  Climate change 19  Waste 25  Water 26  Environmentally conscious products 27  Packaging 37  Product end-of-life management (PELM) 39  Circular economy 40  Biodiversity 4)  4.0 Social 42  Labor practices 44  Health and safety 45  Diversity and inclusion (D&l) 5]  Employment and talent management practices 57  Global philanthropy and community engagement 64  5.0 Governance 68  ESG governance 70  Business practices 73  Product quality management 79  Innovation 81  Governance highlights 83  6.0 Global supply chain 86  Supply chain ESG practices 88  Supplier diversity 101  7.0 Consolidated metrics 102  FY 2023/24 consolidated metrics 104  8.0 EMS performance, objectives, and targets 116  FY 2023/24 EMS performance, objectives, and targets 118  9.0 Long-term KPI progress 126  Long-term ESG key performance indicators (KPI) 128  10.0 Appendix 132  FY 2023/24 memberships and associations 134  Scope of the report 135  Gender equity supplementary information 136  GRI content index 138  The Hong Kong Stock Exchange's ESG Reporting 143  Guide content index  letters  4 A letter from the Chairman  and CEO  6 A letter from our  Chief Legal & Corporate Responsibility  Officer  | am pleased to introduce our FY 2023/24  Environmental, Social and Governance (ESG) report.",Environment - Energy
"This is the 18th consecutive year we have published  such a report, demonstrating our commitment,  persistence, and ongoing progress in these areas.",Environment - Waste & Pollutants
"Clearly, the past year presented our world with  numerous challenges, but it also brought us  unprecedented opportunities in artificial intelligence  (Al).",Environment - Water
It is clear that Al will be a major priority and  influence in our business for years to come.,Environment - Energy
"We are committed to accelerating the deployment of  Al for businesses around the world through Al-enabled,  Al-optimized, and Al-ready devices, infrastructure,  solutions, and services.",Environment - Waste & Pollutants
"Even more, we recognize our  duty to leverage this technology to improve the lives  of people around the world while minimizing its impact  on the planet.",Environment - Waste & Pollutants
This recognition led to our ‘Smarter Al  for All’ vision.,Environment - Waste & Pollutants
"In this report, | would like to share with  you how Lenovo continues to drive ESG forward in the  Al era.",Environment - Energy
"Al for environmental sustainability  We're proud to be on-track for our 2030 emissions  reductions goals, after announcing our commitment to  reach net-zero emissions by 2050 in alignment to the  Science Based Targets initiative’s Net-Zero Standard.",Environment - Waste & Pollutants
"Fueled by our own commitments and services-led  transformation, we continue to meet our customers  wherever they are on their ESG journey with our  sustainability services.",Environment - Waste & Pollutants
