esg_text,country,industry,company,year,labels
REPORT CONTENTS 17 Board Statement 32 Social 18 About Econ Healthcare 32 Excellent Service Quality and 19 Our Year In Review Paty 20 About This Report 37 Our Workforce 21 Our Sustainability Focus we Training and Development 22 Sustainability Governance 42 Governance 23 Stakeholder Engagement ae Srites linttesiity 24 Materiality Assessment wi SS Sotriueirih eke 25 Sustainability Pillars 45 TCFD Index 25 Environment 25 Energy Efficiency and Emissions 28 Climate Risk Assessment (TCFD) The Board of Directors (“Board”) is delighted to share the sustainability report of ECON Healthcare (Asia) Limited (“ECON Healthcare” or the “Group”) for the year ending 31 March 2024 (“FY2024’)'.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"This report outlines our process of identifying, overseeing, and evaluating Environmental, Social, and Governance (""ESG"") issues that are material to the organisation.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"ECON is dedicated to providing care for seniors, as we continue to expand our services in Singapore and beyond.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"As we approach the 3-year milestone since our listing on the Catalist Board of Singapore Exchange Securities Trading Limited (“SGX-ST”), we understand the significance of maintaining sustainable growth in line with our commitment to deliver top- notch care for our clients.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Our objective is to provide significant long-term value to all our stakeholders by incorporating sustainable principles into our business and operations.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
The Board bears the responsibility for overseeing the management and monitoring of material sustainability matters within ECON and ensures that they are integrated into our business strategies.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2024, we have reviewed the four key material topics identified last year, namely 1) Energy Efficiency and Emissions 2) Excellent Service and Patient Safety 3) Training and Development 4) Ethics and Integrity, and reaffirmed the relevance of these ESG factors in our current reporting year.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Our sustainability framework encompasses three pillars that prioritise the integration of material ESG matters into our business operations.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"These pillars include 1) effective climate action to improve energy efficiency and promote environmental circularity, 2) a commitment to enhance service excellence and care for our people and communities, and 3) a focus on strengthening trust and integrity in our business relationships and operations.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"The material topics have been mapped to the relevant United Nations Sustainable Development Goals (“UN SDGs”), Our comprehensive sustainability strategy reflects our philosophy, which is exemplified by the nurturing of a Bonsai tree.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Our FY2024 reporting theme, ""Our People, Our Future"", underscores our commitment to service excellence, which is pivotal to our business.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
This also ties back to our people who play a crucial role in fostering sustainable development and resilience within our communities and our organisation.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
We aim to continue to deliver high-quality care and services to our clients.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"To achieve this, we enhance our Quality KPls and develop strategies across four main areas: People, Care Culture, Training and Development, and Clinical Practices and Initiatives.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"By emphasising these key areas, we ensure our services uphold the highest standards, reflecting our dedication ECON HEALTHCARE (ASIA) LIMITED ANNUAL REPORT 2024 1 7 to offering the best care and attention to our clients through a highly motivated and competent workforce.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"In FY2024, ECON continued our commitment to improving care and service offerings.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"We acquired a new ambulance and medical transport services company, expanding our reach and capabilities.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Additionally, we prioritised employee development by setting a new target to enhance the clinical competencies of our AHP and Care teams.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"Through a combination of external and in-house training programs, we achieved a 13% increase in total training hours for all employees.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
This investment in our workforce is expected to translate into improved client outcomes and overall operational efficiency.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Trust and integrity are core values In all our business dealings and activites.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
"This year, no incidents of corruption was reported.",Singapore,Health,ECONHEALTHCARE,2024,['No Label']
Our ongoing efforts to enhance energy efficiency and minimise greenhouse gas (“GHG”) emissions reflect our dedication to environmental sustainability.,Singapore,Health,ECONHEALTHCARE,2024,['No Label']
